"last.name","first.name","id","twitter.account","name","verified","protected","followersCount","friendsCount","statusesCount","url","location","description","last.update","created"
"Green","Al","156333623","RepAlGreen","Congressman Al Green",TRUE,FALSE,47073,634,1457,"https://t.co/4xG26ktTyt","Houston, TX & Washington, DC","Proud to represent the 9th District of Texas in the U.S. House of Representatives • https://t.co/Lcfa10jIfH • https://t.co/MXGp8OLtZm #First58",2018-01-12,2010-06-16
"Green","Gene","111635527","RepGeneGreen","Rep. Gene Green",TRUE,FALSE,17414,605,2201,"https://t.co/VaTki2eOYe","Houston, TX","Proudly serving the 29th Congressional District of Texas | Ranking Member of @EnergyCommerce Subcommittee on Health | Proud @UHouston Alum",2018-01-11,2010-02-05
"Hall","Ralph M.","1154894353","RalphHallPress","Ralph Hall",TRUE,FALSE,1355,42,398,"http://t.co/kXNhnzfU","4th District of Texas","Proudly serving the constituents of the 4th District of Texas.",2014-12-09,2013-02-06
"Hall","Bob","434998702","SenatorBobHall","Bob Hall Campaign",FALSE,FALSE,1574,689,1687,"https://t.co/wWFA6EBvW6","Canton, TX ","Family man, defender of Liberty and Texas State Senator from District 2",2018-01-11,2011-12-12
"Hall","Jerry","892242632558202880","JerryHalldist27","Jerry Hall",FALSE,FALSE,32,63,234,,"Corpus Christi, TX","Life Long Republican working to make America Great again with the Republican party.",2018-01-09,2017-08-01
"Hensarling","Jeb","18566912","RepHensarling","Jeb Hensarling",TRUE,FALSE,22362,706,930,"https://t.co/lARXvSz1t8","Washington, D.C.","Fighting to control spending & tax increases while advancing the principles of family, free enterprise, and freedom. @FinancialCmte Chairman.",2018-01-11,2009-01-02
"Hinojosa","Rubén","239905257","USRepRHinojosa","Rep. Rubén Hinojosa",TRUE,FALSE,11410,509,2125,"http://t.co/QiAaQKIN34","","Proudly representing the 15th Congressional District of Texas",2016-12-21,2011-01-18
"Hinojosa","Gina","737131740","GinaForAustin","Gina Hinojosa",FALSE,FALSE,3914,915,2649,"https://t.co/Y68UIMIdW7","Austin, Texas","Texas State Rep #HD49, Plan II @UTAustin, JD from @GWLaw, #CivilRights attorney, Former President @AustinISD Board of Trustees.",2018-01-11,2012-08-04
"Hinojosa","Juan ""Chuy""","309753403","TxChuy","Juan Chuy Hinojosa",FALSE,FALSE,6376,673,4188,"https://t.co/az1471l1Ba","TX Senate District 20 ","Proudly representing Texas Senate District 20. Vice Chairman of Senate Finance, Marine Veteran, Attorney and proud father.",2018-01-11,2011-06-02
"Hurd","Will","74313566","WillHurd","Will Hurd",FALSE,FALSE,2562,555,421,"https://t.co/QqCSwSrqct","Texas's 23rd District","Official campaign account of Representative Will Hurd. #TX23 #StandTallNotStill",2017-12-31,2009-09-15
"Jackson-Lee","Sheila","102803873","JacksonLee18","Sheila Jackson Lee",FALSE,FALSE,1675,311,707,"http://t.co/IuPRoCWA4b","Houston, TX","Serving the historic 18th Congressional District of Texas with a passion and commitment for the people.  Seeking opportunity for all.",2011-09-11,2010-01-07
"Johnson","Eddie Bernice","168502762","RepEBJ","US Rep E.B.Johnson",TRUE,FALSE,30522,2130,8034,"http://t.co/bIJXUYo21y","Dallas, Texas","Rep. Eddie Bernice Johnson representing TX-30; Ranking Member of the House Committee on Science, Space and Technology; 1st Registered Nurse in Congress",2018-01-11,2010-07-19
"Johnson","Sam","249288197","SamsPressShop","Sam Johnson",TRUE,FALSE,10201,440,1078,"http://t.co/16udr7zv3r","Third District of Texas","Faithfully serving the Third Congressional District of Texas.",2018-01-09,2011-02-08
"Johnson","Eric","43467353","JohnsonForTexas","Eric Johnson",TRUE,FALSE,10228,4301,9784,"https://t.co/rkkWxyI1t3","Dallas, Texas USA","Christian • Husband • Father • TX State Representative, District <ed><U+00A0><U+00BD><ed><U+00B2><U+00AF> • Lawyer • @KAPsi1911 • @DNC Member • @Harvard alum • @WilsonSchool alum • @PennLaw alum",2018-01-11,2009-05-30
"Johnson","Jarvis","89056002","jarvis4texas","jarvis johnson",FALSE,FALSE,118,3,2,,"","",2012-11-07,2009-11-10
"Marchant","Kenny E.","23976316","RepKenMarchant","Kenny Marchant",TRUE,FALSE,22773,2153,5039,"http://t.co/oo2nzXGA8N","Irving and Washington, D.C.","Serving the 24th Congressional District of Texas | Member of @WaysandMeansGOP and House Ethics Committee",2018-01-11,2009-03-12
"McCaul","Michael","26424123","RepMcCaul","Michael McCaul",TRUE,FALSE,21848,341,3025,"https://t.co/bxJlTs1D8b","Texas' 10th District","News from Congressman Michael McCaul (R-TX 10) and his Press Office",2018-01-11,2009-03-25
"Neugebauer","Randy","34340464","RandyNeugebauer","Randy Neugebauer",TRUE,FALSE,14452,3129,3819,,"Lubbock, TX","Former U.S. Representative of the 19th District of Texas, proud husband, father and grandfather, and avid fisherman.",2017-05-13,2009-04-22
"O'Rourke","Robert Beto","342863309","BetoORourke","Beto O'Rourke",TRUE,FALSE,79844,573,2308,"https://t.co/6z8ikmGqMM","El Paso, TX","Congressman from El Paso challenging Ted Cruz for U.S. Senate in 2018. Powered by people, not PACs.",2018-01-12,2011-07-26
"Olson","Pete","12726012","PeteOlson","Pete Olson",TRUE,FALSE,13039,3033,1578,"https://t.co/IbOq2Vy1I5","Sugar Land, TX","Campaign Twitter account for Rep. Pete Olson, TX-22",2018-01-10,2008-01-26
"Olson","Kim","834205583637147648","KimOlson4TxAg","Kim Olson Col. ret.",FALSE,FALSE,744,103,294,"https://t.co/8jYhpQ1Ay9","Texas, USA","Mother, wife, retired Colonel, rancher, and 2018 Candidate (D) for Texas Commissioner of Agriculture.",2018-01-11,2017-02-22
"Poe","Ted","74198348","JudgeTedPoe","Ted Poe",TRUE,FALSE,29494,686,5000,"https://t.co/7sVCIiKpyj","Humble, Texas","Member of Congress, representing the second district of the great state of Texas",2018-01-11,2009-09-14
"Ratcliffe","John","2196360306","RatcliffeTX4","John Ratcliffe",FALSE,FALSE,1470,1027,301,"https://t.co/WBKCzpuGFr","Heath, TX","Proven Conservative Leadership. Campaign Twitter account for Congressman John Ratcliffe.",2017-12-21,2013-11-15
"Sessions","Pete","24735461","PeteSessions","Pete Sessions",TRUE,FALSE,29290,825,5658,"http://t.co/ZbESaBtE5q","","I proudly represent the people of Texas' 32nd Congressional District and serve as the Chairman of the House Committee on Rules.",2018-01-11,2009-03-16
"Smith","Lamar","15856366","LamarSmithTX21","Lamar Smith",TRUE,FALSE,23475,3668,3222,"http://t.co/1dfigsNXcr","TX21","I represent the 21st District of TX in Congress and Chair the Science, Space, and Technology Committee. Join me: https://t.co/mIljMWAOmi",2018-01-11,2008-08-14
"Smith","Demetria","145616149","dsmith9550","Demetria Smith",FALSE,FALSE,364,782,184,,"Houston, tx","I'm a community activist, radio host, lobbyist for human rights and former candidate for Houston Mayor direct 832-671-9712",2017-12-22,2010-05-19
"Stockman","Steve","1059240924","SteveWorks4You","Steve Stockman",FALSE,FALSE,20581,10922,18684,,"MI, DC, TX","Member, United States Congress, 1995-1997, 2013-2015",2018-01-12,2013-01-04
"Thornberry","Mac","377534571","MacTXPress","Mac Thornberry Press",TRUE,FALSE,11488,929,1058,"http://t.co/KnSJ3TPDYS","United States Capitol","Tweets from the press shop of US Rep. Mac Thornberry. Mac serves the 13th District of TX, which spans from Amarillo to Wichita Falls & is larger than 13 states.",2018-01-10,2011-09-21
"Veasey","Marc","1074129612","RepVeasey","Rep. Marc Veasey",TRUE,FALSE,14851,2866,2757,"http://t.co/MuCQE2uJdQ","Dallas-Fort Worth, Texas","Proudly representing Fort Worth-Dallas. Born and reared in the Metroplex. Husband, father and Dallas Cowboys fan. #TX33, #DFW",2018-01-10,2013-01-09
"Vela","Filemon","1083448909","RepFilemonVela","US Rep. Filemon Vela",TRUE,FALSE,10892,346,1236,"https://t.co/PYuChi0OLA","District 34, Texas","U.S. Congressman for the 34th District of Texas - Privileged to represent South Texans.",2018-01-11,2013-01-12
"Weber","Randy","1058051748","TXRandy14","Randy Weber",TRUE,FALSE,11696,428,2324,"http://t.co/8FFRq13svl","Friendswood, TX","Representative for the 14th Congressional District of Texas.  http://t.co/3YiUH4dPNE | Instagram: TXRandy14",2018-01-11,2013-01-03
"Williams","Roger","18197328","RogerWilliamsTX","Roger Williams",FALSE,FALSE,4016,2167,1934,"http://t.co/Y5B821OgFV","Texas","Conservative Republican candidate for US Congress. #TX25",2018-01-01,2008-12-17
"Williams","Thomas D. ""Tommy""","198572491","TexansForTommy","Sen. Tommy Williams",FALSE,FALSE,1734,157,95,"http://t.co/mJQN4O4XIm","The Woodlands, TX","Results - Not Rhetoric. On the many issues which affect our daily lives, I firmly believe you have sent me to Austin for one reason: to get results!",2013-10-09,2010-10-04
"","","2588167693","86thLegislature","The Interim",FALSE,FALSE,8033,2699,168961,,"Austin, Texas","Like most passionate nations, Texas has its own history based on, but not limited by, facts. -John Steinbeck #txlege",2018-01-12,2014-06-25
"","","557005171","TXlege","#txlege",FALSE,FALSE,11483,1315,12250,,"Austin, TX","Connecting the dots between policy and politics under the Pink Dome. #texas #txed #txwater #txenergy #txbbq",2018-01-08,2012-04-18
"Allen","Alma","2278217281","AlmaAllen131","Alma Allen",FALSE,FALSE,516,13,4,,"","Dr. Alma A. Allen. State Representative District 131. Houston, TX (D)",2014-01-05,2014-01-05
"Allen","Edward Todd","877768753135702016","ToddAllenTX","Todd Allen",FALSE,FALSE,247,669,159,"https://t.co/5Dvj3lPwte","Hurst, TX","Husband. Father. Educator. Democratic congressional candidate for TX 24th. It's time to put a working American in the people's house. #BearRising #NewBlue #TX24",2018-01-11,2017-06-22
"Alvarado","Carol","113173142","RepAlvarado145","Carol Alvarado",TRUE,FALSE,8072,2265,5567,"https://t.co/y9WAFDSPtY","Houston TX","Texas State Representative, District 145",2018-01-11,2010-02-10
"Anchia","Rafael","17025489","RafaelAnchia","Rafael Anchía",TRUE,FALSE,10084,679,9273,"https://t.co/uxoJD9CiXE","Oak Cliff, TX","1st Gen - @SMU @TulaneLaw - TX House - Chair, Intl Trade & Stuff - Chair, @MALCTX - RT ~ Endorse - Employers Disavow Tweets in Advance & So Do My Kids B/C Duh",2018-01-12,2008-10-28
"Anderson","Charles ""Doc""","151043597","DocAnderson4TX","Charles Doc Anderson",FALSE,FALSE,1033,2,1,"http://t.co/qy9qRWuXfe","Waco, Texas","God Bless Texas
Charles Doc Anderson (R)
Texas State Representative (District 56)",2010-06-02,2010-06-02
"Anderson","Rodney","139501320","rodneyanderson","Rodney Anderson",FALSE,FALSE,3614,1443,2609,"http://t.co/LCFQZUR7KU","Grand Prairie, Texas","Conservative Republican Texas House Member for District 105 (Irving and Grand Prairie) http://t.co/NzU6D6V7Hb",2018-01-12,2010-05-02
"Arévalo","Diana","52935946","dianaarevalo","Rep. Diana Arevalo",FALSE,FALSE,1598,1311,256,"https://t.co/9z5cFK5rsc","San Antonio, TX, USA","Tx State Rep for HD 116, Public Health Com., Defense & Veterans Affairs Com., Rules & Res. Com., #NHCSL Vice Chair-Voting, #NHCSL- Healthcare, NYA Exec Dir",2018-01-11,2009-07-02
"Ashby","Trent","2314458697","TrentAshbyTX","TrentAshbyTX",FALSE,FALSE,2890,478,279,,"","State Representative, House District 57.  Proudly serving Angelina, Houston, Leon, Madison, San Augustine and Trinity Counties.",2018-01-11,2014-01-27
"Aycock","Jimmie Don","461712126","Aycockjda","Jimmie Don Aycock",FALSE,FALSE,3677,69,131,"https://t.co/oj01SL6sEF","Killeen, Texas","Grandfather, Veterinarian, Former State Representative still trying hard to do Good, Still madly in Love with my childhood sweetheart and wife of 50 years.",2017-09-28,2012-01-12
"Bailes","Ernest","3600637033","Bailesfortx","Ernest Bailes",FALSE,FALSE,1179,583,561,"https://t.co/FbWPLU8Fh2","Liberty, San Jacinto, & Walker","State Representative for House District 18 #HD18",2018-01-11,2015-09-18
"Bell, Jr.","Cecil","94650130","CBellJr","Cecil Bell Jr",FALSE,FALSE,4707,207,1126,"http://t.co/SG0h33rqTU","Magnolia, Texas","Proudly representing Montgomery and Waller County as State Rep House District 3. GOD BLESS TEXAS!",2018-01-09,2009-12-04
"Bernal","Diego","221659600","DiegoBernalTX","Diego Bernal",TRUE,FALSE,12601,5869,15300,"https://t.co/ugBCdsvDYo","San Antonio, TX","Texas State Representative for HD 123. Family Man. Lawyer. Artist. Advocate. Instagram/Facebook: @DiegoBernalTX",2018-01-12,2010-12-01
"Bettencourt","Paul","2864015602","TeamBettencourt","Team Bettencourt",FALSE,FALSE,1637,301,712,"http://t.co/giGzMKWUWC","Houston, TX","Texas State Senator, District 7",2018-01-11,2014-11-06
"Biedermann","Kyle","3288910812","KyleBiedermann","Kyle Biedermann",FALSE,FALSE,1263,349,589,"https://t.co/mwtHlvVEsR","Fredericksburg, TX","Husband to Barbi. Father & grandfather. Christian. Conservative. Business owner. State Representative for District 73 - Comal, Kendall, & Gillespie. #txlege",2018-01-12,2015-07-23
"Birdwell","Brian","245993078","SenatorBirdwell","Sen. Brian Birdwell",FALSE,FALSE,7265,913,1200,"https://t.co/XeWIDIT0Pc","Senate District 22","Proud husband & father. Native Texan. Decorated military veteran. Lifelong conservative Republican. Survivor of the 9/11 terrorist attack on the Pentagon. #SD22",2018-01-08,2011-02-01
"Blanco","Cesar","427002522","CesarJBlanco","Cesar Blanco",FALSE,FALSE,3959,874,4785,"https://t.co/0Jic8ZTgPu","El Paso","#Veteran, Member of @TexasHouse, Vice President @LatinoCLD, @texasdemocrats #txlege #ElPaso #SB4isHate",2018-01-11,2011-12-03
"Bohac","Dwayne","3099952406","dwayne_bohac","Dwayne Bohac",FALSE,FALSE,1553,484,1072,"http://t.co/d4snTREwGk","Houston, TX","The trouble with Socialism is that eventually you run out of other people's money — Margaret Thatcher",2018-01-11,2015-03-20
"Bonnen","Dennis","882575832",,,,,,,,,,,,
"Bonnen","Greg","381542027","DrGregBonnen","Dr. Greg Bonnen",TRUE,FALSE,5261,369,1541,"https://t.co/kVuoCEGUQr","Friendswood, Texas","Neurosurgeon, small businessman, proud husband and father.  State Representative - Galveston County.",2018-01-01,2011-09-28
"Branch","Daniel Hugh","54034655","TexansForDan","Dan Branch",TRUE,FALSE,14784,2240,2638,"https://t.co/uOPtr62DvK","Texas","Fmr GOP TX House Member (Dallas) & candidate for TX Attorney General. Fortunate husband to Stacey & father of five; fighting to keep TX exceptional.",2017-12-30,2009-07-05
"Buckingham","Dawn","2354071802","DrBuckinghamTX","Dawn Buckingham",FALSE,FALSE,3179,1235,2056,"https://t.co/daL5jitGdd","Lakeway, TX","District 24 Texas Senator: A Physician, Conservative, Christian, Small Business Owner and Mom working to improve lives of Texans. Facebook:dr.dawn.buckingham",2018-01-11,2014-02-21
"Burkett","Cindy","85844559","CindyBurkett_TX","Cindy Burkett",FALSE,FALSE,6119,588,1274,,"Sunnyvale, Texas","",2018-01-11,2009-10-28
"Burnam","Lon","90550657","LonBurnam","Lon Burnam",FALSE,FALSE,2215,497,308,"https://t.co/Q1v08adNKz","Fort Worth, Texas","Former Texas State Representative Lon Burnam",2016-07-19,2009-11-17
"Burns","DeWayne","2223328046","BurnsForTexas","DeWayne Burns",FALSE,FALSE,2018,504,656,"https://t.co/QFmq3u2j44","","State Rep for Johnson Co. and Bosque Co. The Constitution to guide our country and the Bible to guide hearts. Use each day to serve and expand your ministry!",2018-01-09,2013-11-30
"Burrows","Dustin","2678481522","Burrows4TX","Dustin Burrows",FALSE,FALSE,2815,764,1460,"https://t.co/EPMZjnOIOA","Lubbock, TX","Conservative Republican representing Texas House District 83",2018-01-11,2014-07-25
"Burton","Konni","175514162","KonniBurton","Konni Burton",FALSE,FALSE,8757,843,47850,"https://t.co/oAX2Lzyubw","Tarrant County, Texas","Tx State Senator. D10-Tarrant County. Conservative. This is twitter, not my Sen office. To discuss leg or make appt call Dist 817.882.8157 or Austin 512.463.011",2018-01-11,2010-08-06
"Button","Angie Chen","236534618","AngieChenButton","Angie Chen Button",FALSE,FALSE,5322,578,818,"http://t.co/ch70cHTtSU","Texas HD 112","Texas State Representative District 112",2018-01-10,2011-01-10
"Cain","Briscoe","28639189","BriscoeCain","Rep. Briscoe Cain",FALSE,FALSE,2634,2344,2215,"https://t.co/ciBXJuAvEy","Deer Park, Texas","TX State Rep HD128; Member-Texas Freedom Caucus @FreedomforTx; Parents should call the shots, #1A litigator & #ProLife Attorney, Pint-Sized Fighter of Tyrants",2018-01-12,2009-04-03
"Campbell","Donna","68920859","DonnaCampbellTX","Donna Campbell",TRUE,FALSE,7951,312,4256,"http://t.co/MYVXdU5SQX","New Braunfels, TX","Emergency room physician serving the great people of Texas Senate District 25. Family values, fiscal responsibility, limited government.",2018-01-12,2009-08-26
"Campbell","Danny","930425146749399040","Campbell2DC","Danny Campbell",FALSE,FALSE,21,116,45,,"Texas, USA","Former Army Infantry Officer; Conservative Republican; MA in Diplomacy; Candidate for Texas' 5th Congressional District",2018-01-03,2017-11-14
"Canales","Terry","618306293","TerryCanales40","Terry Canales",FALSE,FALSE,8690,7141,10402,"https://t.co/CVVqs2gasU","Edinburg, TX","Father of Five, Husband of One, Attorney of Many and Member of Texas House of Representatives, District 40.",2018-01-11,2012-06-25
"Canales","Judy","910022851658366976","JudyforTexas","Judy Canales",FALSE,FALSE,71,168,31,"https://t.co/4ncJupnwTM","Eagle Pass, TX","Fmr. Obama Appointee<U+25AA><U+FE0F>First female & #Latina to head TX Farm Service Agency<U+25AA><U+FE0F> running for Congress in my hometown district #TX23<U+25AA> Let's turn the TX 23rd!",2018-01-03,2017-09-19
"Capriglione","Giovanni","376474550","VoteGiovanni","Giovanni Capriglione",FALSE,FALSE,7653,3224,1672,"http://t.co/iZgAUTdBcR","Southlake, TX","Texas State Representative HD 98

Colleyville, Grapevine, Keller, Southlake, Westlake, Trophy Club, Fort Worth and Haslet.",2018-01-11,2011-09-19
"Carona","John","59167437","JohnCarona","John Carona",FALSE,FALSE,4051,770,810,"http://t.co/xEd6VMXu5P","","Member, Texas Senate 1996-2014; Member, Texas House 1990-1996; President & CEO - Associa",2017-05-24,2009-07-22
"Clardy","Travis","392933208","travisfortexas","Travis Clardy",FALSE,FALSE,2862,440,1321,"http://t.co/yzfvSuP1QK","Nacogdoches, Texas","State Representative for Texas House District 11, small town businessman, and attorney serving Cherokee, Nacogdoches, and Rusk counties.",2018-01-11,2011-10-17
"Coleman","Garnet","21336343","GFColeman","Garnet Coleman",FALSE,FALSE,7400,236,1313,"http://t.co/ghiaGXmlpW","Houston, TX","Texas State Representative for House District 147",2018-01-11,2009-02-19
"Collier","Mike","1618380482","CollierForTexas","Mike Collier",FALSE,FALSE,2980,501,1623,"https://t.co/pjQls1ICZw","Texas, USA","Running to be the 43rd Lieutenant Governor of Texas. I'm fighting to bring common sense and compassion back to Texas government.",2018-01-11,2013-07-24
"Collier","Nicole","606780846","NicoleCollier95","Nicole Collier",FALSE,FALSE,4178,126,484,,"","Texas State Representative for House District 95. Practicing attorney. Proud mother of three.",2018-01-06,2012-06-12
"Cortez","Philip","355237624","CortezPhilip","Philip Cortez",FALSE,FALSE,2856,575,1018,"https://t.co/1yMRRoCvUX","San Antonio, TX","Texas State Representative-House District 117. Serves as a Captain in the U. S. Air Force. Former @COSAGOV City Councilman.",2018-01-01,2011-08-15
"Cosper","Scott","2331201967","scottcosper54","Scott Cosper",FALSE,FALSE,215,441,8,"https://t.co/R3yY4zu5MI","Killeen, TX","Texas State Representative for District 54.",2017-10-02,2014-02-07
"Craddick","Christi","339877498","ChristiCraddick","Christi Craddick",TRUE,FALSE,6409,1670,5126,"https://t.co/yHxV9sdIdW","Austin, Texas","Chairman Christi Craddick, Railroad Commission of Texas. Regulating oil & gas, gas utilities, pipelines, coal & uranium mining in the great state of Texas.",2018-01-11,2011-07-21
"Creighton","Brandon","55028345","SenCreighton","Brandon Creighton",FALSE,FALSE,15881,11907,1210,"https://t.co/giUv0wPK06","Conroe, TX ","Texas State Senator, District 4 & Vice Chair of @TexasSenateGOP",2018-01-10,2009-07-08
"Crownover","Myra","437189566","MyraCrownover","Myra Crownover",FALSE,FALSE,3276,105,291,"http://t.co/lRGnYmkwG1","","Fiscal Conservative who supports family values, proudly representing House District 64.",2016-10-11,2011-12-15
"Cyrier","John","861973747","JCyrier","John Cyrier",FALSE,FALSE,1733,827,940,"https://t.co/2wdOvyfV5V","Lockhart, TX","State Representative for District 17 (Lee, Bastrop, Caldwell, Gonzales and Karnes Counties)",2018-01-06,2012-10-04
"Dale","Tony","55472395","TonyDaleTX","Rep. Tony Dale",FALSE,FALSE,6415,5244,4251,"https://t.co/HjnfDl4Vq9","Cedar Park, Leander, #ATX, RR","TX ST Rep, SW WilCo. Husband, Dad, Veteran, Small Biz Owner, Conservative, Enviro Reg Committee & Vice Chair Juvenile Justice. Pol Ad paid 4 by T. Dale. #txlege",2018-01-11,2009-07-10
"Darby","Drew","1546246813","drewdarby4Tx","Drew Darby",FALSE,FALSE,2966,401,571,"http://t.co/5QSb0iI3Bj","","",2018-01-01,2013-06-25
"Davis","Sarah","169229045","SarahforHD134","Sarah Davis",FALSE,FALSE,9161,6736,3721,"https://t.co/vgqdPB6vG4","Houston, Texas","Representative for Texas House District 134; Been known to be scrappy",2018-01-11,2010-07-21
"Davis","Wendy","2336902850","wendydavistexas","Wendy Davis",FALSE,FALSE,571,1,0,"http://t.co/j1zcFbqHaZ","Fort Worth, TX","Now tweeting at @WendyDavis. Texan forever.",,2014-02-10
"Deshotel","Joseph D. ""Joe""","18741238","RepJoeDeshotel","Joe Deshotel",FALSE,FALSE,4953,156,3684,"http://t.co/MXhwJdN3GO","Beaumont, TX","State Representative 22nd District, Texas.
Chairman of Land Resource & Management Committee,
Public Education advocate, and runner.",2017-11-11,2009-01-07
"Deuell","Bob","104569741","bobdeuell","Bob Deuell",FALSE,FALSE,2348,256,221,"http://t.co/r3QLBZ8X9b","Greenville, TX","Texas State Senator, physician and drummer.",2014-10-20,2010-01-13
